"keyword","impression","click","cost","ranking","conversion"
"三亚的飞机",24,1,0.64,5.52,0
"途牛特价机票网",15,3,1.48,1.11,0
"机票订购",1185,16,8.83,9.64,0
"广州-机票网",20,3,2.9,4.59,0
"机票订购",1541,32,20.95,9.28,3
"西安特价机票查询",56,1,0.7,9.52,0
"上海机票优惠",5,1,0.9,2.5,0
"飞机票票价查询",146,2,0.91,10.39,0
"去哪儿网特价机票",1450,1,0.75,10.72,0
"机票",12451,273,277.22,6.85,12
"大连特价机票",17,2,1.89,3.41,2
"三亚航班查询",25,1,0.37,5.45,0
"昆明机票",52,1,0.85,8.14,0
"武汉的飞机",127,3,1.78,6.78,0
"买飞机票",627,8,4.09,8.57,1
"飞机订票官网",77,3,1.35,7.76,0
"飞机票最便宜",14,1,0.49,3,0
"广州机票多少钱",69,1,0.98,5.89,0
"沈阳飞机票查询",6,1,0.65,8.33,0
"网上订飞机票官网",296,4,1.84,10.22,0
"北京飞机票网上订票",15,1,1.1,6.79,0
"五一期间低价机票",4,1,1.04,1,0
"长春飞机票预定",12,1,0.3,7.33,0
"飞机票查询网",113,1,1.06,8.31,0
"特价票",19,2,1.39,4,0
"特价打折机票",6,2,1.45,11.6,0
"深圳武汉机票预订",6,1,1.51,1.67,0
"飞机票预订",2339,18,14.55,10.99,2
"黄山门票",285,2,1.23,9.87,0
"三亚打折机票",189,1,1.08,7.91,0
"特价飞机票网上订票官网",249,7,3.15,11.74,0
"艺龙网机票查询",495,2,0.94,8.82,0
"广州航班时刻表",98,3,1.97,6.18,0
"三亚机票-价格",29,1,0.97,9.3,0
"泸州机票",5,1,0.75,6,0
"长沙特价飞机票",177,4,4.04,8.26,1
"上海-买机票",58,1,0.84,6.21,0
"长春机票预订",6,1,0.69,5,0
"北京特价机票网",19,2,1.53,5.59,0
"哈尔滨机票预订",3,1,0.3,10,0
"成都特价机票",106,5,3.18,7.05,0
"哪个网站的机票便宜",16,2,0.9,5.4,0
"机票票价查询",271,1,0.5,9.45,0
"厦门机票打折",19,1,0.76,6.57,0
"最便宜的机票",35,1,0.7,7.5,0
"西安打折机票",77,1,0.68,9.36,0
"天津航班查询",11,1,0.5,8,0
"呼和浩特特价飞机票",113,3,2.91,6.57,0
"机票打折",905,47,48.23,10,1
"携程网机票",248,1,0.47,5.37,1
"去哪儿网订机票可靠吗",221,2,0.92,5.69,0
"飞机票价查询网",15,1,0.5,5.71,0
"绵阳机票",12,1,0.75,5.57,3
"三亚机票",85,2,1.27,7.75,0
"广州特价机票",82,2,1.31,8.84,0
"杭州机票",127,1,0.64,6.45,0
"春节期间机票价格",9,1,0.95,5.6,0
"北京特价机票",631,15,13.86,8.77,1
"如何订机票便宜",7,1,0.65,9.5,0
"广州飞机票",50,1,0.96,5.76,0
"飞机票",3764,22,11.03,9.7,0
"飞机票查询网",1385,23,19.5,7.45,0
"厦门特价机票查询",37,1,0.52,6.85,0
"最便宜机票",36,4,2.72,6.21,0
"成都机票特价",25,1,0.77,8.37,0
"武汉定机票",16,1,0.37,11.42,0
"青岛机票网",32,1,0.45,9.89,0
"青岛机票",44,1,0.65,9.31,0
"哈尔滨的飞机",104,1,0.53,7.01,0
"特价飞机票",116,9,5.48,7.53,0
"三亚机票",74,2,1.5,5.57,0
"五一特价机票查询",4,1,1.25,1,0
"深圳特价机票网",27,5,6.17,1.92,0
"北京机票订购",82,1,0.88,5.73,0
"广州-飞机票查询",734,1,0.85,8.74,0
"郑州低价机票",41,1,0.79,9.06,0
"春节买机票",3,1,0.97,4,0
"特价机票价格查询",246,8,5.22,7.05,0
"深圳的机票",25,1,1.62,4.62,0
"西双版纳往返机票",69,2,1.33,9.97,0
"订机票",656,8,3.81,10.55,0
"特价厦门飞机票查询",5,1,0.63,6,0
"预定打折机票",295,7,4.19,9.35,0
"提前多久买机票最便宜",18,1,0.49,1.53,0
"深圳优惠机票",6,1,0.73,7,0
"重庆航班时刻表",35,1,0.68,5.13,0
"全国飞机票价查询",17,1,0.45,4.5,0
"海口飞机票预订",5,1,1.04,8.33,0
"2013年春节机票",16,1,0.92,3.42,0
"西安特价飞机票",422,9,5.65,7.59,0
"西安便宜飞机票",46,1,0.53,8.29,0
"艺龙网机票预订",12,1,0.45,7.5,0
"特价机票-携程旅行网",264,17,10.56,6.8,0
"上海-预订机票",179,10,8.35,7.76,0
"打折机票网",1289,53,34.1,7.68,0
"成都便宜机票",26,1,0.49,6.52,0
"深圳飞机票查询",39,3,4.28,6.58,0
"去哪网机票查询",2989,1,0.45,9.65,0
"上海-特价机票",2,1,0.72,4,0
"途牛网特价机票",44,4,1.92,1.05,0
"深圳到长春机票查询",3,1,1.33,5,0
"机票预订",4187,44,19.11,10.62,6
"上海廉价机票预订",4,1,1,2,0
"五一旅游机票",6,2,1.89,3,0
"天津低价机票",22,1,0.3,5.72,0
"攀枝花机票",5,1,0.75,3.67,0
"长沙飞机票查询",10,1,0.65,7,0
"打折机票网",290,5,2.91,10.52,0
"最便宜飞机票",294,11,5.52,7.49,0
"飞机票-携程",38,1,0.49,9.15,2
"航班查询",4092,3,1.7,8.11,0
"沈阳特价机票预订",4,1,0.65,8,0
"重庆飞机票",51,1,1.05,9.65,0
"机票-网站",44,3,1.26,9.26,0
"天津飞机票查询",6,1,0.65,8,0
"成都特价机票",53,1,0.64,6.02,0
"南京特价机票",130,2,1.3,6.8,0
"北京机票预订网站",6,1,0.7,1.5,0
"五一便宜机票",7,1,1.04,1,0
"天津飞机",420,2,1.41,5.81,0
"飞机票查询",2148,2,1.04,12.26,0
"武汉航班查询",92,1,0.3,8.47,0
"呼和浩特飞机",210,1,0.53,5.41,0
"昆明-特价机票",425,10,6.39,8.48,0
"成都机票",66,1,0.62,11.27,0
"三亚特价机票",31,4,1.88,6.07,0
"太原飞机票多少钱",14,1,0.53,4.44,0
"特价飞机票",343,35,29.81,6.73,0
"儿童飞机票怎么买",58,4,3.23,3.5,0
"天津特价机票",28,2,1.48,10,0
"南京优惠机票",271,4,1.72,7.96,0
"订机票最便宜的网站",448,34,35.15,8.19,1
"订飞机票",2319,64,48.49,8.78,9
"北京订机票",11,1,0.46,9.3,0
"上海-买机票",139,9,7.5,7.24,0
"飞机票",5128,19,18.54,10.02,1
"特价机票网查询",19,2,0.85,8.75,0
"重庆特价机票网",17,1,1,5.46,0
"南京特价飞机票",142,5,5.09,7.65,0
"杭州机票网",11,1,0.95,3,0
"特价呼和浩特飞机票",2,1,0.63,7,0
"北京机票网",20,1,0.73,9.76,0
"上海航班",37,1,0.62,7.89,0
"去哪儿网机票查询",853,1,0.45,4.76,0
"深圳飞机票",128,1,0.63,7.37,0
"机票预定网",182,1,0.45,11.11,0
"三亚机票预订",5,1,0.42,12,0
"特价三亚机票",15,1,0.77,8.25,0
"乌海飞机票",12,1,0.63,5.4,0
"呼和浩特-飞机票",63,1,0.54,7.05,0
"深圳飞机票预定",16,1,0.63,10.07,0
"便宜的飞机票",33,1,0.64,9,0
"优惠机票",290,13,19.47,8.84,0
"北京机票查询",229,1,1.01,9.83,0
"武汉特价机票查询",27,2,1.92,9.35,0
"长沙的飞机票",171,1,0.76,9.96,0
"郑州机票价格查询",27,1,0.62,7.81,0
"昆明航班时刻表",38,1,0.69,5.97,0
"网上购买厦门飞机票",4,1,0.82,5,0
"海口-飞机票",55,1,0.63,6.59,0
"预订廉价机票",62,6,6.22,4.75,0
"大连订票",33,1,0.94,1.45,0
"深圳飞机票网上订票",1,1,0.63,5,0
"北京飞机",2652,3,2.07,6.27,0
"西安机票",177,2,1.21,8.94,0
"特价机票1-2折",17,1,0.68,2.36,0
"订机票",1397,18,17.92,10.03,0
"郑州飞机时刻表",41,2,1.28,4.31,0
"特价机票查询-同程机票",23,1,0.45,7.84,0
"广州机票特价",32,3,2.37,6.84,0
"郑州的飞机票",107,1,0.67,6.4,0
"上海廉价机票",8,1,0.96,8.6,0
"电话订天津飞机票",9,2,1.37,6.67,0
"北京的飞机票",277,1,0.51,9.11,0
"厦门机票预定",445,5,2.66,8.53,1
"深圳机票预订",322,12,10.05,8.07,0
"深圳特价机票查询",26,2,2.47,4,0
"低价机票查询",62,7,7.16,6.72,0
"特价机票查询网",444,22,14.47,8.17,1
"上海飞机",572,2,1.52,7.66,0
"北京到齐齐哈尔特价机票",2,1,1.94,5,0
"厦门飞机",203,1,0.9,5.87,0
"海口机票查询",4,1,0.65,4.67,0
"贵阳打折机票",4,1,0.65,10.5,0
"石家庄特价机票",15,3,2.23,3.56,0
"武汉特价机票",25,4,2.52,5.52,0
"那个网站买机票便宜",12,1,0.49,10,0
"三亚航班",127,2,1.26,6.61,0
"上海-机票价格",31,1,0.66,6.96,0
"廉价机票",61,1,0.7,7.32,0
"北京特价飞机票",172,3,2.22,6.5,0
"广州白云机场订机票",5,1,0.83,2,0
"最便宜飞机票",67,4,2.7,7.07,0
"广州机票预订网站",4,1,0.8,4.67,0
"深圳打折机票",21,3,3.01,5.25,0
"飞机票网上订票",716,25,25.57,7.87,5
"济南的飞机",87,2,0.88,7.49,0
"头等舱机票查询",30,1,0.42,5.14,0
"重庆机票",43,1,1.08,9,0
"深圳航班查询",61,1,1.25,7.95,0
"北京便宜机票",11,1,0.95,4.5,0
"三亚飞机票查询",75,3,1.94,7.86,0
"海口航班查询",9,1,0.55,3.4,0
"北京航班时刻表",149,3,1.75,5.51,0
"深圳机票查询",95,3,2.55,6.15,0
"两折机票",3,1,0.74,5,0
"郑州特价机票",36,5,3.3,9.93,0
"长沙机票价格查询",121,2,1.21,10.76,0
"乌鲁木齐机票",601,2,1.38,8.13,0
"三亚-机票",13,1,0.64,4.3,2
"重庆的飞机票",262,2,1.21,9.13,0
"南京特价机票",23,1,0.92,4.84,0
"南京飞机票便宜",7,1,0.58,6,0
"机票打折",635,20,15.48,11.18,0
"低价机票",252,11,11.22,5.83,0
"广州订票",16,1,1.08,1.67,2
"厦门低价机票",54,2,1.32,8.02,0
"杭州飞机票",5,1,0.3,12.33,0
"厦门机票特价",26,1,0.72,8.67,0
"大连打折机票",16,1,0.59,6.33,0
"机票",48516,221,106.08,8.77,9
"北京机票票价查询",80,4,3.51,7.26,0
"呼和浩特机票",98,1,0.53,7.77,0
"南京机票订购",8,1,0.85,8,0
"打折机票",760,6,2.92,11.83,0
"广州订机票",193,5,3.43,9.2,0
"订机票最便宜",4,1,0.67,7,0
"哈尔滨的飞机票",209,3,1.98,8.66,0
"机票预定",392,14,19.99,5.85,0
"海口的飞机",70,1,0.64,5.91,2
"特价飞机票",6778,169,160.02,9.97,7
"辽宁自助游",8,1,0.55,9,0
"北京便宜机票",217,6,3.97,7.22,0
"订机票-上海",34,1,0.89,11.38,0
"上海定机票",29,2,1.08,9,0
"预定特价机票",466,14,8.62,9.18,1
"五一机票多少钱",22,4,4.05,4.69,0
"北京飞机票订票官网",100,1,1.07,7.89,0
"最便宜的机票网",16,1,0.5,6.33,0
"天津-特价机票",4,1,0.64,3,0
"西安机票价格",14,1,0.53,9.11,0
"深圳便宜飞机票",32,2,1.54,6.39,1
"西双版纳往返机票",52,2,1.51,8.73,0
"北京的航班",273,1,0.54,7.01,0
"南京优惠机票",225,1,0.43,8.16,0
"哪个网订机票最便宜",15,1,0.5,7.1,0
"上海飞机票",61,1,0.7,8.58,0
"连云港机票",2,2,1.34,3.5,0
"打折机票可以退吗",43,2,0.93,3.49,0
"哈尔滨特价飞机票",557,4,2.97,9.44,0
"南苑机场特价机票",3,1,0.75,3,0
"北京机票预订",21,1,0.68,8.47,0
"南京特价机票查询",4,1,0.86,3,0
"三亚飞机票",89,1,0.74,6.94,0
"广州特价机票",113,1,1.02,9.16,0
"往返特价机票",52,2,1.23,8.16,0
"春节往返机票",2,1,1,4,0
"乌鲁木齐航班查询",49,1,0.58,6.34,0
"北京的飞机票",203,4,1.52,8.47,0
"民航特价机票",12,10,5.54,10,0
"北京机票票价查询",172,4,2.23,8.5,0
"端午节折扣机票",3,1,0.82,2,0
"长沙订机票",36,1,0.85,6.23,0
"昆明低价机票",16,1,0.78,9.46,0
"上海机票团购",8,2,2.13,2,0
"打折机票查询",826,49,52.18,8.12,6
"昆明飞机时刻表",42,2,1.42,4.24,0
"南昌飞机票查询",102,1,1.04,8.37,0
"飞机票",42248,77,50.6,7.12,14
"广州特价飞机票查询",17,1,0.75,7.29,0
"订飞机票",2793,133,135.07,6.29,26
"北京机票订购",816,15,8.67,6.94,0
"深圳折扣飞机票",6,1,0.88,5.67,0
"天津-飞机票",263,3,1.85,8.93,0
"端午节机票降价",5,1,0.62,1.75,0
"南京飞机票多少钱",20,1,0.61,5.44,0
"郑州机票",46,1,0.66,7.62,0
"乌鲁木齐特价机票",98,1,0.45,10.48,0
"上海-预订机票",279,3,1.31,11.02,0
"网上订机票",1018,11,7.33,10.21,0
"上海预定机票",32,2,1.36,5.67,0
"东莞特价机票",46,2,1.36,5.06,0
"全国机票查询",40,1,0.46,10.29,0
"南航机票查询",57,1,0.45,9.39,0
"十一放假安排2013",260,3,2.71,1.11,0
"武汉优惠机票",5,1,0.65,2,0
"南京优惠机票",360,1,0.72,9.65,0
"深圳机票往返",41,2,1.32,6.31,0
"携程网买机票",8,1,0.45,5,0
"深圳飞机票查询",120,7,9.74,6.75,0
"南京折扣机票",13,1,0.85,11,0
"海口的航班",20,1,0.53,4.81,0
"重庆机票网",26,3,2.58,7.67,0
"上海订机票",511,12,10.09,8.89,1
"温州飞机票",15,1,0.71,7.67,0
"深圳机票",88,1,1.01,6.44,0
"十一放假安排-2013",20391,11,5.9,1,0
"武汉-飞机票",169,1,0.56,7.43,0
"烟台机票预订",6,1,1.06,7,0
"飞机票儿童票标准",10,1,0.73,2.29,0
"北京打折机票预订",11,1,0.86,5.75,0
"大连机票",36,1,0.57,8.79,0
"订机票的官网",3,1,0.49,8.5,0
"深圳-特价机票",12,2,2.86,5.29,0
"珠海-飞机票",28,2,0.6,6.83,0
"海口航班查询",58,2,0.9,5.96,0
"哈尔滨特价机票查询网",61,1,0.58,7.67,0
"过年机票打折",21,3,1.14,6,0
"深圳打折机票",13,1,1.22,8.1,0
"长沙-飞机票",4,1,0.34,4.5,0
"深圳的机票",246,3,1.8,8.07,0
"南京航班时刻表",63,5,3.52,4.16,0
"杭州机票查询",67,1,0.77,11.25,0
"武汉特价机票",20,4,2.46,4.59,0
"三亚-机票",13,1,0.9,5.33,0
"南京机票",40,2,1.75,6.68,0
"途牛机票",14,4,1.93,1,0
"沈阳出发特价机票",3,1,0.54,4,0
"宁波机票查询",4,1,0.57,11,0
"烟台航班查询",115,1,0.72,5.94,0
"深圳打折飞机票",9,1,0.56,3.29,0
"广州便宜机票",5,1,0.98,2.33,0
"青春自助游",18,1,0.57,4.54,0
"厦门飞机票",10,2,0.9,7,0
"机票票价查询",727,1,0.45,9.83,0
"郑州航班",50,2,1.49,6.86,0
"重庆打折机票",65,1,0.86,10.75,0
"重庆航班时刻表",66,1,0.63,4.44,0
"广州国内机票预订",12,1,0.84,4.71,0
"打折飞机",41,1,0.42,8.35,0
"乌鲁木齐飞机时刻表",23,2,1.5,4.29,0
"深圳-飞机票",120,1,0.73,10.32,0
"哪里订南宁机票便宜",4,1,0.72,8,0
"北京-机票",12,1,0.88,7,0
"成都便宜机票",24,2,1.34,6.27,0
"打折机票认证",8,2,1.31,2.4,0
"南宁机票价格",262,3,1.59,5.18,0
"三亚-飞机票",129,3,1.72,7.33,0
"头等舱机票查询",35,2,0.77,8.54,0
"儿童坐飞机票价",101,4,3.34,3.79,2
"购机票",107,5,5.01,9.02,0
"去哪儿网机票",269,1,0.61,7.5,0
"上海-便宜飞机票",291,2,0.86,9.07,0
"大连打折机票",10,1,0.95,9.13,0
"最便宜的飞机票",515,15,7.41,8.42,0
"银川特价机票",62,1,0.66,8.92,0
"预订机票",121,2,2.22,8.26,0
"西双版纳的飞机票",6,1,0.71,7.75,0
"北京-便宜机票",12,3,2.36,7.13,0
"上海折扣机票预订",5,1,0.85,4,0
"元旦机票价格",3,1,0.94,7.5,0
"买飞机票",872,18,10.93,7.59,0
"白菜价机票",4,1,0.46,4,0
"儿童机票怎么买",60,3,2.37,2.92,0
"艺龙网机票查询",243,1,0.47,9.25,0
"去哪-机票",67,1,0.46,7.91,0
"杭州飞机时刻表",42,2,1.26,3.44,0
"厦门机票预定",649,3,1.57,9.86,0
"北京订便宜机票",3,1,0.7,3,0
"预订特价机票",610,8,6.97,8.77,0
"打折机票订购",55,2,2.18,5.54,0
"春节机票预订",56,6,5.69,4.02,0
"成都机票预订",117,5,3.39,10.83,0
"昆明飞机票多少钱",24,1,0.63,6.95,0
"打折机票可以改签吗",41,3,1.43,2.22,0
"机票打折",944,46,29.86,8.19,3
"北京的机票",70,1,0.99,8.91,0
"深圳特价机票",83,8,9.93,7.28,1
"特惠机票",5162,102,61.76,9.07,8
"2013年特价机票",38,6,7.17,4.2,0
"上海的航班",113,1,0.51,4.18,0
"打折机票查询",972,85,89.36,8.43,1
"广州飞机票多少钱",38,1,0.53,5.89,0
"哈尔滨机票价格",44,1,0.53,8.6,0
"黄山门票",421,1,0.84,9.23,0
"买飞机票的网站",41,1,0.48,12.11,0
"飞机票便宜",39,1,0.5,6.95,0
"五一飞机",30,4,2.63,1.67,0
"南京的飞机",170,3,1.61,6.03,0
"上海廉价机票",11,1,0.85,5,0
"查询机票价格",829,15,14.44,8.57,0
"机票预订",14707,260,161.8,9.63,32
"北京航班",71,1,1.03,6.93,0
"飞机票预定",83,1,0.68,9.83,0
"海口特价机票查询",4,2,1.48,2.33,0
"青岛特价机票",18,1,0.66,11,0
"途牛网特价机票",61,6,2.81,1.09,0
"成都飞机票查询",22,1,0.78,10.14,0
"特价长沙飞机票",16,1,0.65,8.4,0
"盐城机票预订",9,1,0.7,6.67,0
"飞机票在哪买便宜",19,2,0.86,8.6,0
"厦门特价机票",311,3,1.88,7.7,0
"厦门-飞机票预订",324,5,2.33,7.26,0
"三亚特价机票",27,5,3.03,3.67,0
"沈阳机票",27,1,0.62,8.08,0
"大连特价机票",65,1,0.79,8.9,0
"上海飞机",172,1,0.68,7.67,0
"买机票网站",44,1,0.42,6.45,0
"飞机票哪里买便宜",2,1,0.45,3,0
"深圳的机票",133,2,1.56,10.02,0
"哈尔滨飞机时刻表",64,1,0.64,4.3,0
"民航机票预订",82,8,7.49,3.91,0
"广州预定机票",8,1,0.75,6.4,0
"廉价机票",555,85,87.14,4.5,1
"厦门特价机票",41,6,3.73,7.44,0
"珠海机票查询",12,1,0.64,11.11,0
"特价机票查询",1695,18,7.32,11.43,0
"深圳机票预订",288,2,1.21,10.09,0
"昆明-特价机票",1337,18,7.81,8.47,0
"深圳飞机票",277,2,1.85,6.7,0
"最便宜的飞机票",284,15,9.51,7.08,1
"什么网站订机票便宜",12,1,0.34,8.88,0
"海口特价飞机票",51,2,1.32,6.86,0
"杭州机票",66,1,0.44,8.85,0
"武汉飞机票-预订",2,1,0.3,5,0
"北京便宜机票",11,2,1.92,3.6,0
"海口便宜机票",9,2,1.6,6.5,0
"长春机票",68,1,0.3,7.48,0
"携程网-机票预订",1238,2,1.14,4.84,0
"上海十一放假",20,1,0.68,1.36,0
"天津特价飞机票",265,4,2.83,6.97,1
"长春航班时刻表",32,2,1.09,3.71,0
"途牛网机票",31,5,2.38,1.08,0
"网上机票",1420,10,4.74,8.98,3
"北京机票网站",7,1,1,2,0
"买飞机票的官方网站",11,2,0.95,9.45,0
"天津便宜飞机票",47,1,0.63,7.86,0
"石家庄特价机票",9,1,0.73,4.56,0
"南昌特价飞机票",109,1,0.71,8.57,0
"去哪儿网特价机票",1479,1,0.45,7.33,0
"重庆机票查询",58,2,2.2,9.23,0
"深圳机票网站",5,1,0.95,3,0
"哈尔滨飞机",561,2,0.75,6.05,0
"沈阳出发特价机票",5,1,0.73,6.5,0
"如何买特价机票",6,1,0.59,5.25,0
"海南航空",4907,1,0.54,6.17,0
"飞机票查询网",1678,44,36.24,6.79,0
"北京机票打折",38,1,0.53,7.22,0
"北京飞机票",188,4,2.87,7.26,0
"三亚机票多少钱",22,3,1.99,6.4,0
"特价飞机票查询",179,20,14.34,5.94,1
"三亚特价飞机票",281,12,8.18,6.76,1
"丽江特价机票",9,2,3.09,3.17,0
"徐州特价机票",6,1,0.65,4.5,0
"海口机票",21,2,1.26,3.83,1
"网上买飞机票",397,6,5.88,6.94,0
"哪里买飞机票最便宜",11,1,0.39,6,0
"郑州折扣机票",20,1,0.61,9.29,0
"网上订机票",971,15,9.23,9.54,9
"五一打折机票",63,5,5.88,4.67,0
"民航特价机票",13,13,6.84,14,0
"机票订购",353,25,20.22,7.59,0
"杭州的机票",160,1,0.5,8.26,0
"海南特价机票",6,1,0.52,1.67,0
"武汉飞机票",19,6,4.14,4.33,0
"怎样买飞机票便宜",16,1,0.44,5.92,0
"武汉飞机时刻表",150,3,1.68,5.14,0
"北京便宜飞机票",14,1,0.48,6.83,0
"三亚折扣机票",13,1,0.55,7.56,0
"天津机票预订",13,1,0.72,10.7,0
"北京特价机票",49,9,23.16,1.07,0
"飞机票预定",7493,77,38.83,8.36,8
"广州订便宜机票",4,1,0.75,4,0
"深圳飞机",1827,7,4.39,6.95,0
"途牛网机票",35,7,3.34,1.36,1
"机票最便宜",8,1,0.81,3,0
"西安飞机时刻表",82,2,1.06,6.41,0
"上海特价机票",378,22,20.19,6.1,0
"广州航班查询",15,1,0.95,10.46,0
"天津特价机票",118,1,0.74,10.23,0
"途牛特价机票",5,2,0.99,1,0
"买飞机票",517,32,31.99,6.16,2
"深圳的飞机票",552,6,4.47,10.03,0
"深圳特价机票查询",26,3,3.74,5.33,0
"机票预订网",773,9,4.78,9.36,0
"厦门航班时刻表",32,3,1.68,4,0
"银川机票",206,3,1.44,7.63,0
"五一有打折机票吗",6,2,1.99,1.5,0
"南京折扣机票",7,1,0.84,6,0
"长沙机票预订",36,2,2.19,8,0
"张家界飞机票",7,1,0.75,4.5,0
"烟台飞机票查询",13,1,0.62,8.38,0
"上海-便宜飞机票",139,6,3.04,5.85,1
"桂林机票",23,1,0.66,7.64,0
"海口机票",12,1,0.63,5.3,0
"武汉特价机票",20,5,3.13,5.26,0
"特价飞机票",6884,231,219.35,9.19,14
"网上买机票",73,1,0.4,7.44,0
"三亚飞机票",117,2,1.53,7.75,0
"成都-飞机票",170,1,0.6,8.61,0
"2013年春节机票",14,2,1.98,3.44,0
"广州折扣机票",14,2,1.82,3.09,0
"预订机票",56,2,1.99,8.15,0
"什么网站订机票便宜",12,1,0.44,6.4,0
"珠海航班",51,2,1.32,6.39,0
"北京-便宜机票",17,3,2.35,3.73,0
